Name,Coords
Snoqualmie Pass WA,"-121.4109,47.4014"
Hartline WA,"-119.1081,47.6895"
Lake Forest Park WA,"-122.2878,47.7597"
Crocker WA,"-122.1225,47.0843"
Elbe WA,"-122.1946,46.7653"
Ravensdale WA,"-121.9692,47.3563"
Arlington WA,"-122.1446,48.1697"
McChord AFB WA,"-122.4924,47.1328"
Lebam WA,"-123.5509,46.5641"
Lynden WA,"-122.4544,48.9503"
Coupeville WA,"-122.6775,48.2172"
Prescott WA,"-118.3126,46.2988"
South Bend WA,"-123.8008,46.6680"
Mabton WA,"-119.9938,46.2115"
North Bend WA,"-121.7738,47.4898"
Grapeview WA,"-122.8413,47.3316"
Garfield WA,"-117.1395,47.0103"
Rochester WA,"-123.0722,46.8288"
Dayton WA,"-117.9769,46.3168"
Algona WA,"-122.2504,47.2822"
Mineral WA,"-122.1859,46.7193"
Barstow WA,"-118.1329,48.7783"
Moclips WA,"-124.2025,47.2348"
Bellingham WA,"-122.4687,48.7543"
Vader WA,"-122.9569,46.4045"
North Lynnwood WA,"-122.2762,47.8533"
Tracyton WA,"-122.6533,47.6095"
White Salmon WA,"-121.4853,45.7282"
Peaceful Valley WA,"-122.1406,48.9477"
East Renton Highlands WA,"-122.0854,47.4718"
Metaline WA,"-117.3899,48.8540"
Deming WA,"-122.2313,48.8381"
Medical Lake WA,"-117.6893,47.5712"
Aberdeen WA,"-123.8095,46.9757"
Chehalis WA,"-122.9647,46.6637"
Onalaska WA,"-122.7112,46.5783"
Toledo WA,"-122.8496,46.4414"
Everson WA,"-122.3510,48.9123"
Belfair WA,"-122.8487,47.4495"
Lynnwood WA,"-122.3035,47.8285"
Colton WA,"-117.1285,46.5675"
Malden WA,"-117.4731,47.2296"
Ames Lake WA,"-121.9664,47.6346"
Wilson Creek WA,"-119.1176,47.4230"
North Yelm WA,"-122.6029,46.9647"
Mirrormont WA,"-121.9936,47.4616"
Whidbey Island Station WA,"-122.6616,48.3387"
Town and Country WA,"-117.4221,47.7259"
Tokeland WA,"-123.9839,46.7090"
Snoqualmie WA,"-121.8412,47.5293"
Bremerton WA,"-122.7121,47.5436"
East Cathlamet WA,"-123.3580,46.1968"
Fort Lewis WA,"-122.5672,47.0955"
Salmon Creek WA,"-122.6632,45.7099"
Skykomish WA,"-121.3586,47.7103"
Tacoma WA,"-122.4531,47.2431"
Monroe WA,"-121.9853,47.8596"
Loomis WA,"-119.6398,48.8235"
Pomeroy WA,"-117.5967,46.4737"
Brush Prairie WA,"-122.5483,45.7250"
Silver Firs WA,"-122.1497,47.8635"
Nespelem WA,"-118.9722,48.1670"
Meadowdale WA,"-122.3156,47.8583"
Shadow Lake WA,"-122.0764,47.4017"
LaCrosse WA,"-117.9013,46.8021"
Concrete WA,"-121.7512,48.5371"
Sumas WA,"-122.2695,48.9956"
Ruston WA,"-122.5100,47.2982"
La Center WA,"-122.6764,45.8589"
Marrowstone WA,"-122.6933,48.0568"
Chelan Falls WA,"-119.9882,47.7995"
Lake Cavanaugh WA,"-122.0122,48.3225"
Duluth WA,"-122.6470,45.7838"
Sequim WA,"-123.0944,48.0747"
Benton City WA,"-119.4814,46.2624"
Moses Lake WA,"-119.2741,47.1284"
Fircrest WA,"-122.5157,47.2308"
Othello WA,"-119.1651,46.8222"
Mercer Island WA,"-122.2265,47.5625"
Enumclaw WA,"-121.9897,47.2017"
Chico WA,"-122.7198,47.6234"
Enetai WA,"-122.6058,47.5885"
Hunts Point WA,"-122.2290,47.6420"
Clinton WA,"-122.3577,47.9731"
