Name,Coords
Calumet City IL,"-87.5505,41.6134"
San Jose IL,"-89.6048,40.3051"
Cambria IL,"-89.1189,37.7800"
Biggsville IL,"-90.8621,40.8539"
Ogden IL,"-87.9563,40.1150"
Oakwood Hills IL,"-88.2393,42.2478"
Ottawa IL,"-88.8307,41.3532"
Deer Creek IL,"-89.3315,40.6291"
Time IL,"-90.7234,39.5612"
Carlock IL,"-89.1287,40.5835"
Schiller Park IL,"-87.8693,41.9586"
Murrayville IL,"-90.2517,39.5820"
Oglesby IL,"-89.0693,41.2960"
Sailor Springs IL,"-88.3602,38.7645"
Channel Lake IL,"-88.1491,42.4831"
Vermilion IL,"-87.5877,39.5800"
Marion IL,"-88.9275,37.7171"
Roanoke IL,"-89.2023,40.7969"
Venice IL,"-90.1689,38.6719"
Marissa IL,"-89.7746,38.2501"
Fults IL,"-90.2129,38.1644"
Eagarville IL,"-89.7832,39.1121"
Burlington IL,"-88.5511,42.0415"
Mendon IL,"-91.2858,40.0892"
London Mills IL,"-90.2661,40.7106"
Hume IL,"-87.8693,39.7985"
Cisne IL,"-88.4371,38.5141"
Bluffs IL,"-90.5352,39.7494"
Saybrook IL,"-88.5260,40.4286"
Lake Forest IL,"-87.8596,42.2380"
River Grove IL,"-87.8379,41.9243"
Pesotum IL,"-88.2744,39.9129"
Dixmoor IL,"-87.6672,41.6330"
Payson IL,"-91.2443,39.8169"
Dix IL,"-88.9423,38.4431"
Warrensburg IL,"-89.0628,39.9320"
Galva IL,"-90.0375,41.1689"
Yale IL,"-88.0246,39.1203"
Alsey IL,"-90.4329,39.5593"
Beason IL,"-89.1951,40.1423"
Villa Grove IL,"-88.1600,39.8644"
Lacon IL,"-89.4061,41.0228"
Prospect Heights IL,"-87.9267,42.1039"
Allenville IL,"-88.5383,39.5585"
Tremont IL,"-89.4906,40.5248"
Easton IL,"-89.8412,40.2320"
Benson IL,"-89.1211,40.8505"
Rosemont IL,"-87.8717,41.9890"
Edwardsville IL,"-89.9881,38.7922"
Franklin IL,"-90.0477,39.6205"
Paxton IL,"-88.1021,40.4563"
Chesterfield IL,"-90.0668,39.2566"
Williamsfield IL,"-90.0182,40.9264"
Sorento IL,"-89.5748,39.0008"
Fairmount IL,"-87.8293,40.0456"
Stockton IL,"-90.0019,42.3526"
Elmwood Park IL,"-87.8163,41.9225"
Mascoutah IL,"-89.8045,38.5191"
Northlake IL,"-87.9054,41.9143"
Chapin IL,"-90.4027,39.7670"
Athens IL,"-89.7216,39.9619"
Decatur IL,"-88.9337,39.8556"
Breese IL,"-89.5231,38.6138"
Goodfield IL,"-89.2694,40.6251"
Peru IL,"-89.1368,41.3490"
Milford IL,"-87.6962,40.6274"
Lake in the Hills IL,"-88.3478,42.1913"
Oregon IL,"-89.3356,42.0132"
Casey IL,"-87.9896,39.3027"
Farmer City IL,"-88.6423,40.2480"
Mansfield IL,"-88.5081,40.2122"
Reddick IL,"-88.2486,41.0985"
McCook IL,"-87.8410,41.7959"
Andalusia IL,"-90.7164,41.4373"
Markham IL,"-87.6905,41.6000"
Roscoe IL,"-89.0085,42.4252"
Radom IL,"-89.1921,38.2798"
Gladstone IL,"-90.9567,40.8640"
Fulton IL,"-90.1576,41.8647"
Lanark IL,"-89.8328,42.1019"
Longview IL,"-88.0662,39.8859"
East Dubuque IL,"-90.6279,42.4890"
Savoy IL,"-88.2553,40.0602"
Sidney IL,"-88.0721,40.0250"
Coyne Center IL,"-90.5632,41.4002"
Chillicothe IL,"-89.5018,40.9152"
Springfield IL,"-89.6537,39.7710"
Sammons Point IL,"-87.8585,41.0309"
Marengo IL,"-88.6153,42.2312"
Penfield IL,"-87.9442,40.3048"
Zeigler IL,"-89.0521,37.9067"
Knollwood IL,"-87.8793,42.2846"
Tamaroa IL,"-89.2293,38.1364"
Harmon IL,"-89.5562,41.7193"
East Gillespie IL,"-89.8127,39.1378"
Carrier Mills IL,"-88.6294,37.6886"
Irwin IL,"-87.9841,41.0529"
Sesser IL,"-89.0509,38.0905"
Sumner IL,"-87.8726,38.7197"
Fox River Grove IL,"-88.2146,42.1955"
Green Valley IL,"-89.6438,40.4073"
Whiteash IL,"-88.9294,37.7853"
Hoyleton IL,"-89.2721,38.4457"
Colp IL,"-89.0787,37.8074"
Mulberry Grove IL,"-89.2662,38.9245"
Elvaston IL,"-91.2493,40.3954"
Oquawka IL,"-90.9499,40.9378"
Beaverville IL,"-87.6548,40.9534"
Springerton IL,"-88.3548,38.1786"
Spring Grove IL,"-88.2404,42.4547"
Steger IL,"-87.6183,41.4723"
Forest City IL,"-89.8325,40.3723"
Nilwood IL,"-89.8077,39.3995"
Deer Grove IL,"-89.6874,41.6098"
Bridgeview IL,"-87.8067,41.7402"
Hamilton IL,"-91.3623,40.3899"
Spring Bay IL,"-89.5285,40.8207"
Equality IL,"-88.3422,37.7371"
Brownstown IL,"-88.9553,38.9943"
Woodhull IL,"-90.3221,41.1784"
Chebanse IL,"-87.9098,41.0058"
Cairo IL,"-89.1819,37.0063"
Kane IL,"-90.3512,39.1905"
Bradley IL,"-87.8451,41.1643"
Valier IL,"-89.0439,38.0176"
Shelbyville IL,"-88.8005,39.4096"
Kenilworth IL,"-87.7145,42.0888"
Maple Park IL,"-88.6063,41.9086"
Flossmoor IL,"-87.6857,41.5391"
Vernon Hills IL,"-87.9607,42.2340"
Kilbourne IL,"-90.0115,40.1519"
Winnebago IL,"-89.2337,42.2671"
Cary IL,"-88.2491,42.2128"
Hull IL,"-91.2032,39.7086"
Bolingbrook IL,"-88.1019,41.6903"
Marine IL,"-89.7789,38.7868"
Dallas City IL,"-91.1645,40.6353"
Hamel IL,"-89.8429,38.8891"
Arrowsmith IL,"-88.6321,40.4493"
Livingston IL,"-89.7642,38.9682"
Charleston IL,"-88.1775,39.4842"
Lake Zurich IL,"-88.0870,42.1955"
Lyons IL,"-87.8192,41.8121"
Patoka IL,"-89.0958,38.7540"
Bishop Hill IL,"-90.1175,41.1997"
Metamora IL,"-89.3689,40.7958"
Central City IL,"-89.1284,38.5483"
Hodgkins IL,"-87.8607,41.7663"
Towanda IL,"-88.9007,40.5633"
Wonder Lake IL,"-88.3493,42.3791"
Murphysboro IL,"-89.3321,37.7679"
Lovington IL,"-88.6316,39.7144"
Shawneetown IL,"-88.1865,37.7157"
Muncie IL,"-87.8430,40.1160"
Brookport IL,"-88.6279,37.1258"
Lostant IL,"-89.0668,41.1252"
Godley IL,"-88.2452,41.2385"
Elkhart IL,"-89.4727,40.0136"
Scottville IL,"-90.1038,39.4777"
Sandoval IL,"-89.1193,38.6121"
Hartford IL,"-90.0909,38.8212"
Minonk IL,"-89.0382,40.9104"
Standard City IL,"-89.7836,39.3504"
Milton IL,"-90.6501,39.5645"
Waggoner IL,"-89.6527,39.3776"
Barrington IL,"-88.1281,42.1515"
Browning IL,"-90.3731,40.1270"
Banner IL,"-89.9156,40.5126"
Emington IL,"-88.3577,40.9693"
Effingham IL,"-88.5509,39.1207"
Ellisville IL,"-90.3060,40.6273"
Brimfield IL,"-89.8830,40.8380"
Nebo IL,"-90.7881,39.4421"
Middletown IL,"-89.5903,40.0993"
Malta IL,"-88.8669,41.9291"
Canton IL,"-90.0409,40.5632"
Spring Valley IL,"-89.2034,41.3359"
Gulf Port IL,"-91.0845,40.8076"
Normal IL,"-88.9877,40.5220"
Mendota IL,"-89.1042,41.5553"
Sherman IL,"-89.6065,39.8877"
Fox Lake IL,"-88.1843,42.4238"
Rankin IL,"-87.8959,40.4644"
Steeleville IL,"-89.6625,38.0085"
Glen Ellyn IL,"-88.0629,41.8667"
Long Creek IL,"-88.8475,39.8052"
Riverwoods IL,"-87.8951,42.1723"
Floraville IL,"-90.0554,38.3764"
Madison IL,"-90.1425,38.7003"
Percy IL,"-89.6188,38.0153"
Troy IL,"-89.8974,38.7268"
Fithian IL,"-87.8750,40.1143"
Opdyke IL,"-88.7898,38.2583"
Tower Lakes IL,"-88.1538,42.2315"
Neoga IL,"-88.4504,39.3215"
Lansing IL,"-87.5462,41.5648"
Mound City IL,"-89.1628,37.0854"
Bourbonnais IL,"-87.8781,41.1831"
Fairview IL,"-90.1841,40.6485"
New Lenox IL,"-87.9700,41.5097"
Rolling Meadows IL,"-88.0253,42.0747"
Foosland IL,"-88.4291,40.3611"
Harvel IL,"-89.5323,39.3577"
Cedar Point IL,"-89.1260,41.2651"
Pana IL,"-89.0643,39.3828"
Varna IL,"-89.2244,41.0353"
Wood Dale IL,"-87.9808,41.9665"
Wenonah IL,"-89.2879,39.3200"
Davis Junction IL,"-89.0898,42.1144"
Tallula IL,"-89.9365,39.9457"
Hennepin IL,"-89.3216,41.2589"
Mill Creek IL,"-89.2535,37.3410"
Forest View IL,"-87.7798,41.8073"
Harvey IL,"-87.6521,41.6076"
Knoxville IL,"-90.2857,40.9070"
Herscher IL,"-88.1006,41.0493"
Gilson IL,"-90.1997,40.8630"
Forest Park IL,"-87.8157,41.8683"
Clayton IL,"-90.9580,40.0301"
Marietta IL,"-90.3931,40.4995"
Griggsville IL,"-90.7273,39.7078"
Como IL,"-89.7657,41.7662"
Harristown IL,"-89.0606,39.8428"
New Bedford IL,"-89.7184,41.5112"
Hopewell IL,"-89.4572,40.9842"
Holiday Hills IL,"-88.2297,42.2979"
Ohlman IL,"-89.2192,39.3434"
Libertyville IL,"-87.9670,42.2870"
Colona IL,"-90.3446,41.4678"
Iola IL,"-88.6279,38.8341"
Polo IL,"-89.5788,41.9847"
Cornland IL,"-89.4019,39.9375"
Olivet IL,"-87.6379,39.9414"
Barry IL,"-91.0398,39.6982"
Mark IL,"-89.2550,41.2624"
Lisle IL,"-88.0883,41.7922"
Langleyville IL,"-89.3602,39.5611"
Ellis Grove IL,"-89.9101,38.0093"
Broadlands IL,"-87.9971,39.9087"
Kappa IL,"-89.0060,40.6755"
Washington IL,"-89.4345,40.7048"
Ringwood IL,"-88.3032,42.3974"
South Chicago Heights IL,"-87.6370,41.4831"
La Fayette IL,"-89.9735,41.1097"
Palos Hills IL,"-87.8266,41.6986"
Elgin IL,"-88.3229,42.0385"
Kincaid IL,"-89.4166,39.5868"
Crab Orchard IL,"-88.8059,37.7249"
Russellville IL,"-87.5301,38.8196"
Oakwood IL,"-87.7769,40.1101"
Media IL,"-90.8326,40.7694"
Annapolis IL,"-87.8157,39.1453"
Alsip IL,"-87.7368,41.6701"
Sterling IL,"-89.6952,41.7997"
Noble IL,"-88.2234,38.6974"
Crest Hill IL,"-88.1128,41.5724"
Du Quoin IL,"-89.2323,38.0019"
Lake Summerset IL,"-89.3984,42.4521"
Paderborn IL,"-90.0465,38.3595"
Wellington IL,"-87.6796,40.5404"
Eureka IL,"-89.2774,40.7145"
Limestone IL,"-87.9599,41.1338"
Scott AFB IL,"-89.8528,38.5412"
Round Lake Park IL,"-88.0749,42.3308"
Monee IL,"-87.7510,41.4176"
Harrison IL,"-89.3361,37.7982"
Somonauk IL,"-88.6732,41.6420"
Milledgeville IL,"-89.7748,41.9637"
Baldwin IL,"-89.8451,38.1838"
Darien IL,"-87.9823,41.7447"
Sheldon IL,"-87.5658,40.7710"
Ford Heights IL,"-87.5814,41.5109"
Hecker IL,"-89.9935,38.3054"
Barrington Hills IL,"-88.2035,42.1400"
Mount Zion IL,"-88.8835,39.7797"
East St. Louis IL,"-90.1304,38.6156"
Ladd IL,"-89.2145,41.3816"
East Cape Girardeau IL,"-89.4869,37.2957"
Zion IL,"-87.8509,42.4598"
Virginia IL,"-90.2107,39.9525"
New Holland IL,"-89.5825,40.1834"
Mount Erie IL,"-88.2325,38.5146"
Carrollton IL,"-90.4062,39.2948"
Chandlerville IL,"-90.1512,40.0470"
Karnak IL,"-88.9758,37.2941"
Mapleton IL,"-89.7245,40.5732"
Kenney IL,"-89.0862,40.0981"
Maunie IL,"-88.0457,38.0354"
Ridott IL,"-89.4771,42.2967"
Apple River IL,"-90.0937,42.5022"
Cisco IL,"-88.7255,40.0116"
Pittsburg IL,"-88.8499,37.7771"
Teutopolis IL,"-88.4792,39.1319"
Curran IL,"-89.7782,39.7422"
Lebanon IL,"-89.8120,38.6013"
Glenwood IL,"-87.6119,41.5412"
Detroit IL,"-90.6760,39.6201"
Lockport IL,"-88.0293,41.5904"
Bellevue IL,"-89.6733,40.6877"
Colfax IL,"-88.6161,40.5666"
Stone Park IL,"-87.8806,41.9033"
Phoenix IL,"-87.6308,41.6118"
Jeisyville IL,"-89.4080,39.5793"
Henderson IL,"-90.3535,41.0238"
New Douglas IL,"-89.6664,38.9699"
Prestbury IL,"-88.4225,41.7847"
Boulder Hill IL,"-88.3353,41.7112"
Kirkland IL,"-88.8491,42.0905"
Metropolis IL,"-88.7083,37.1566"
Beardstown IL,"-90.4178,39.9994"
Golden Gate IL,"-88.2047,38.3589"
Ridgway IL,"-88.2606,37.7979"
Basco IL,"-91.1995,40.3278"
Brighton IL,"-90.1404,39.0406"
New Grand Chain IL,"-89.0165,37.2552"
Industry IL,"-90.6082,40.3269"
Topeka IL,"-89.9306,40.3304"
New Minden IL,"-89.3705,38.4380"
Cambridge IL,"-90.1907,41.2984"
Essex IL,"-88.1928,41.1819"
Hidalgo IL,"-88.1491,39.1559"
Port Byron IL,"-90.3273,41.6166"
Royalton IL,"-89.1142,37.8774"
Ferris IL,"-91.1683,40.4695"
Buda IL,"-89.6791,41.3291"
Henning IL,"-87.7010,40.3069"
Ashmore IL,"-88.0202,39.5305"
Pawnee IL,"-89.5824,39.5936"
Morrison IL,"-89.9618,41.8077"
Witt IL,"-89.3492,39.2545"
Hanover IL,"-90.2736,42.2552"
New Boston IL,"-91.0000,41.1697"
Kinderhook IL,"-91.1517,39.7037"
Ewing IL,"-88.8528,38.0889"
Tiskilwa IL,"-89.5085,41.2927"
Sleepy Hollow IL,"-88.3137,42.0913"
Grantfork IL,"-89.6664,38.8288"
Stanford IL,"-89.2208,40.4318"
Milan IL,"-90.5595,41.4416"
Kinsman IL,"-88.5699,41.1903"
Abingdon IL,"-90.4009,40.8039"
Collinsville IL,"-90.0059,38.6769"
Lake Petersburg IL,"-89.8655,39.9832"
Salem IL,"-88.9579,38.6278"
Lake Holiday IL,"-88.6703,41.6156"
Sauk Village IL,"-87.5702,41.4907"
Jerseyville IL,"-90.3276,39.1180"
Heritage Lake IL,"-89.3309,40.5454"
Wayne City IL,"-88.5895,38.3481"
Virden IL,"-89.7711,39.5058"
St. Augustine IL,"-90.4070,40.7213"
McLeansboro IL,"-88.5386,38.0902"
Eldred IL,"-90.5538,39.2863"
Havana IL,"-90.0566,40.2950"
South Holland IL,"-87.6022,41.5977"
Nelson IL,"-89.6036,41.7962"
Boody IL,"-89.0473,39.7655"
Glenview IL,"-87.8216,42.0825"
Sadorus IL,"-88.3451,39.9669"
Lake Ka-Ho IL,"-89.7464,39.0998"
Jerome IL,"-89.6786,39.7677"
Rock Island Arsenal IL,"-90.5399,41.5172"
Hollowayville IL,"-89.2948,41.3648"
Bismarck IL,"-87.6113,40.2594"
Farmington IL,"-90.0034,40.6972"
Wyoming IL,"-89.7729,41.0638"
Ashkum IL,"-87.9531,40.8782"
Lakewood IL,"-88.3932,42.2278"
De Land IL,"-88.6434,40.1218"
Cowden IL,"-88.8595,39.2492"
Alma IL,"-88.9119,38.7231"
Worden IL,"-89.8404,38.9315"
Bridgeport IL,"-87.7591,38.7094"
Sciota IL,"-90.7480,40.5624"
Fieldon IL,"-90.4996,39.1088"
Donovan IL,"-87.6142,40.8848"
Tolono IL,"-88.2625,39.9912"
Pinckneyville IL,"-89.3718,38.0851"
Prophetstown IL,"-89.9349,41.6703"
Oreana IL,"-88.8685,39.9378"
Lynwood IL,"-87.5508,41.5234"
Makanda IL,"-89.2357,37.6210"
McNabb IL,"-89.2096,41.1772"
Batchtown IL,"-90.6534,39.0331"
Magnolia IL,"-89.1958,41.1141"
East Galesburg IL,"-90.3110,40.9428"
Greenville IL,"-89.3893,38.8866"
Cobden IL,"-89.2545,37.5335"
Richton Park IL,"-87.7352,41.4822"
Thawville IL,"-88.1134,40.6733"
Berkeley IL,"-87.9114,41.8891"
Braceville IL,"-88.2464,41.2280"
El Dara IL,"-90.9912,39.6227"
Dowell IL,"-89.2390,37.9397"
Raritan IL,"-90.8253,40.6959"
Seatonville IL,"-89.2740,41.3647"
Southern View IL,"-89.6511,39.7560"
Blandinsville IL,"-90.8681,40.5542"
Irvington IL,"-89.1601,38.4386"
O'Fallon IL,"-89.9156,38.5976"
Florence IL,"-90.6106,39.6286"
Good Hope IL,"-90.6755,40.5575"
Johnsburg IL,"-88.2475,42.3840"
Maroa IL,"-88.9561,40.0366"
Hindsboro IL,"-88.1347,39.6847"
Pearl IL,"-90.6237,39.4597"
Petersburg IL,"-89.8455,40.0143"
Chestnut IL,"-89.1866,40.0538"
Carol Stream IL,"-88.1308,41.9182"
Diamond IL,"-88.2506,41.2852"
St. Charles IL,"-88.3110,41.9193"
Inverness IL,"-88.1019,42.1152"
Hoffman IL,"-89.2644,38.5404"
Macomb IL,"-90.6818,40.4721"
Orland Hills IL,"-87.8413,41.5905"
Lemont IL,"-87.9828,41.6697"
Thebes IL,"-89.4544,37.2140"
Thomasboro IL,"-88.1877,40.2439"
White Heath IL,"-88.5115,40.0870"
Blue Island IL,"-87.6812,41.6578"
Robinson IL,"-87.7333,39.0089"
Morton Grove IL,"-87.7890,42.0423"
Belleville IL,"-89.9900,38.5165"
Browns IL,"-87.9831,38.3775"
Dalzell IL,"-89.1763,41.3553"
Elsah IL,"-90.3554,38.9540"
Sandwich IL,"-88.6177,41.6496"
Warrenville IL,"-88.1857,41.8210"
Countryside IL,"-87.8752,41.7741"
Downers Grove IL,"-88.0170,41.7949"
Plano IL,"-88.5294,41.6757"
Kempton IL,"-88.2362,40.9355"
Oak Forest IL,"-87.7527,41.6055"
North Pekin IL,"-89.6226,40.6113"
Woodland IL,"-87.7303,40.7137"
Auburn IL,"-89.7441,39.5765"
Wyanet IL,"-89.5831,41.3606"
Wheeling IL,"-87.9240,42.1308"
Thomson IL,"-90.1117,41.9726"
Menominee IL,"-90.5428,42.4747"
Oak Grove IL,"-90.5742,41.4120"
Olmsted IL,"-89.0849,37.1827"
West City IL,"-88.9470,37.9962"
Humboldt IL,"-88.3200,39.6047"
Hinckley IL,"-88.6397,41.7714"
St. Francisville IL,"-87.6474,38.5919"
Odin IL,"-89.0541,38.6159"
Chicago IL,"-87.6862,41.8373"
Pleasant Plains IL,"-89.9186,39.8746"
La Moille IL,"-89.2833,41.5301"
Minooka IL,"-88.2792,41.4507"
White City IL,"-89.7637,39.0716"
Rutland IL,"-89.0413,40.9838"
Genoa IL,"-88.6966,42.0929"
Darmstadt IL,"-89.7288,38.3190"
Energy IL,"-89.0246,37.7741"
Gilberts IL,"-88.3716,42.1096"
Gifford IL,"-88.0214,40.3079"
Crainville IL,"-89.0600,37.7509"
Hazel Crest IL,"-87.6899,41.5732"
Orient IL,"-88.9773,37.9176"
West Point IL,"-91.1836,40.2556"
Perry IL,"-90.7469,39.7823"
Quincy IL,"-91.3798,39.9335"
Sauget IL,"-90.1611,38.5845"
Broadview IL,"-87.8562,41.8584"
Greenup IL,"-88.1598,39.2484"
Matherville IL,"-90.6055,41.2596"
St. Elmo IL,"-88.8513,39.0228"
Fairview Heights IL,"-90.0052,38.5974"
Antioch IL,"-88.0721,42.4742"
Grand Tower IL,"-89.5013,37.6343"
Meredosia IL,"-90.5571,39.8311"
Peoria Heights IL,"-89.5701,40.7466"
Grandwood Park IL,"-87.9871,42.3929"
Kaskaskia IL,"-89.9163,37.9213"
Tovey IL,"-89.4486,39.5883"
Stewardson IL,"-88.6303,39.2638"
Hebron IL,"-88.4343,42.4646"
Creal Springs IL,"-88.8375,37.6198"
Crossville IL,"-88.0643,38.1625"
Arlington IL,"-89.2482,41.4717"
Assumption IL,"-89.0478,39.5180"
Yates City IL,"-90.0140,40.7777"
Bowen IL,"-91.0633,40.2321"
Willow Springs IL,"-87.8859,41.7335"
Grand Detour IL,"-89.4137,41.9011"
Green Oaks IL,"-87.9116,42.2954"
Table Grove IL,"-90.4252,40.3650"
Port Barrington IL,"-88.1942,42.2439"
Kangley IL,"-88.8722,41.1480"
East Hazel Crest IL,"-87.6503,41.5758"
Venedy IL,"-89.6456,38.3966"
Dana IL,"-88.9500,40.9565"
Golconda IL,"-88.4872,37.3622"
Campbell Hill IL,"-89.5510,37.9298"
Bethalto IL,"-90.0467,38.9014"
Flanagan IL,"-88.8597,40.8771"
Johnston City IL,"-88.9293,37.8213"
Fairbury IL,"-88.5162,40.7460"
Wamac IL,"-89.1456,38.4973"
Coalton IL,"-89.3030,39.2848"
Rochester IL,"-89.5459,39.7490"
Lerna IL,"-88.2884,39.4179"
Cooksville IL,"-88.7144,40.5426"
Rapids City IL,"-90.3394,41.5788"
Dayton IL,"-88.7959,41.3856"
Mount Morris IL,"-89.4295,42.0487"
Brooklyn IL,"-90.1679,38.6544"
Alpha IL,"-90.3802,41.1917"
Pingree Grove IL,"-88.4362,42.0857"
Omaha IL,"-88.3053,37.8901"
Norris IL,"-90.0321,40.6258"
Huntley IL,"-88.4330,42.1600"
Pekin IL,"-89.6263,40.5677"
Chester IL,"-89.8260,37.9200"
Golf IL,"-87.7850,42.0586"
Hillside IL,"-87.9019,41.8674"
Annawan IL,"-89.8887,41.3959"
Ridge Farm IL,"-87.6520,39.8957"
Roselle IL,"-88.0862,41.9807"
Justice IL,"-87.8345,41.7495"
Wayne IL,"-88.2583,41.9493"
Lake Catherine IL,"-88.1272,42.4870"
Lombard IL,"-88.0157,41.8741"
Washington Park IL,"-90.0928,38.6285"
Gibson City IL,"-88.3788,40.4665"
Camargo IL,"-88.1671,39.7991"
Stronghurst IL,"-90.9095,40.7462"
McHenry IL,"-88.2931,42.3388"
Emden IL,"-89.4851,40.2982"
Hardin IL,"-90.6248,39.1591"
Goofy Ridge IL,"-89.9407,40.3949"
Roxana IL,"-90.0465,38.8318"
Bondville IL,"-88.3683,40.1116"
Lost Nation IL,"-89.3689,41.9124"
Sycamore IL,"-88.6812,41.9950"
Byron IL,"-89.2622,42.1273"
Dakota IL,"-89.5266,42.3880"
Westville IL,"-87.6389,40.0439"
Lisbon IL,"-88.4597,41.4794"
Thayer IL,"-89.7579,39.5404"
Prairie Grove IL,"-88.2697,42.2771"
Valley City IL,"-90.6514,39.7071"
Symerton IL,"-88.0532,41.3255"
Elkville IL,"-89.2367,37.9100"
Argenta IL,"-88.8197,39.9855"
Swansea IL,"-89.9859,38.5507"
Wilmette IL,"-87.7282,42.0770"
Nashville IL,"-89.3770,38.3514"
Dunfermline IL,"-90.0325,40.4917"
Broughton IL,"-88.4623,37.9345"
Machesney Park IL,"-89.0266,42.3666"
Chatsworth IL,"-88.2974,40.7294"
Kankakee IL,"-87.8643,41.1020"
Algonquin IL,"-88.3158,42.1629"
Malden IL,"-89.3698,41.4249"
Forsyth IL,"-88.9640,39.9259"
Homer Glen IL,"-87.9497,41.6044"
Prairie City IL,"-90.4649,40.6210"
Mokena IL,"-87.8779,41.5324"
Panola IL,"-89.0203,40.7829"
Tennessee IL,"-90.8362,40.4112"
Bellwood IL,"-87.8762,41.8829"
Mettawa IL,"-87.9201,42.2449"
Shorewood IL,"-88.2149,41.5175"
Dorchester IL,"-89.8878,39.0859"
Pittsfield IL,"-90.7936,39.6199"
Niles IL,"-87.8100,42.0279"
Wheeler IL,"-88.3188,39.0430"
Tower Hill IL,"-88.9592,39.3868"
Martinsville IL,"-87.8811,39.3383"
Hainesville IL,"-88.0686,42.3414"
Leland IL,"-88.7983,41.6160"
East Brooklyn IL,"-88.2660,41.1727"
Calumet Park IL,"-87.6578,41.6650"
Holiday Shores IL,"-89.9361,38.9226"
Kingston Mines IL,"-89.7718,40.5587"
Oakford IL,"-89.9651,40.1011"
Beach Park IL,"-87.8584,42.4261"
Lomax IL,"-91.0762,40.6789"
South Jacksonville IL,"-90.2293,39.7024"
Albany IL,"-90.2166,41.7861"
Dieterich IL,"-88.3818,39.0601"
Keyesport IL,"-89.2737,38.7460"
Viola IL,"-90.5863,41.2053"
Carbondale IL,"-89.2238,37.7220"
Watseka IL,"-87.7292,40.7748"
Monticello IL,"-88.5729,40.0342"
Bartlett IL,"-88.2070,41.9803"
La Grange Park IL,"-87.8723,41.8308"
Brussels IL,"-90.5890,38.9485"
Chicago Heights IL,"-87.6347,41.5101"
Chicago Ridge IL,"-87.7795,41.7034"
Indian Creek IL,"-87.9783,42.2272"
Sims IL,"-88.5354,38.3618"
Dolton IL,"-87.5979,41.6284"
Kinmundy IL,"-88.8539,38.7726"
Strasburg IL,"-88.6212,39.3497"
Forrest IL,"-88.4097,40.7511"
Elizabethtown IL,"-88.3052,37.4499"
Sparta IL,"-89.7185,38.1514"
Toulon IL,"-89.8633,41.0935"
Stillman Valley IL,"-89.1800,42.1041"
Plainfield IL,"-88.2260,41.6205"
Dixon IL,"-89.4788,41.8439"
Huey IL,"-89.2898,38.6054"
Phillipstown IL,"-88.0181,38.1429"
Jonesboro IL,"-89.2666,37.4510"
Jacksonville IL,"-90.2316,39.7292"
Coulterville IL,"-89.6046,38.1850"
Arthur IL,"-88.4696,39.7144"
Olney IL,"-88.0838,38.7285"
Girard IL,"-89.7820,39.4466"
Cabery IL,"-88.2037,40.9958"
Ste. Marie IL,"-88.0278,38.9300"
Moline IL,"-90.4919,41.4821"
Wataga IL,"-90.2755,41.0253"
Hawthorn Woods IL,"-88.0623,42.2313"
Olive Branch IL,"-89.3518,37.1755"
Union Hill IL,"-88.1461,41.1083"
Newark IL,"-88.5804,41.5368"
Preston Heights IL,"-88.0756,41.4943"
Brookfield IL,"-87.8470,41.8245"
Anna IL,"-89.2388,37.4612"
Palmer IL,"-89.4079,39.4586"
Allendale IL,"-87.7103,38.5276"
Mount Carmel IL,"-87.7694,38.4187"
Norridge IL,"-87.8231,41.9637"
Lake Bluff IL,"-87.8510,42.2826"
Crescent City IL,"-87.8563,40.7718"
Dwight IL,"-88.4240,41.0986"
Clinton IL,"-88.9633,40.1468"
Greenfield IL,"-90.2080,39.3443"
Franklin Grove IL,"-89.3004,41.8408"
Hometown IL,"-87.7311,41.7312"
West Peoria IL,"-89.6400,40.6969"
Fairfield IL,"-88.3723,38.3799"
Smithton IL,"-89.9902,38.4160"
Coatsburg IL,"-91.1603,40.0327"
Vienna IL,"-88.8871,37.4143"
La Grange IL,"-87.8741,41.8072"
Fairmont City IL,"-90.1026,38.6503"
Metcalf IL,"-87.8093,39.7998"
River Forest IL,"-87.8194,41.8950"
Hoffman Estates IL,"-88.1468,42.0639"
Old Shawneetown IL,"-88.1387,37.6971"
McClure IL,"-89.4335,37.3146"
Lewistown IL,"-90.1555,40.3968"
Mineral IL,"-89.8388,41.3843"
Adair IL,"-90.4974,40.4183"
Riverton IL,"-89.5394,39.8454"
Brocton IL,"-87.9335,39.7155"
LaPlace IL,"-88.7156,39.7978"
Hurst IL,"-89.1442,37.8351"
Morrisonville IL,"-89.4590,39.4217"
Matteson IL,"-87.7468,41.5095"
Venetian Village IL,"-88.0465,42.4012"
Cleveland IL,"-90.3181,41.5033"
Armington IL,"-89.3143,40.3398"
Cedarville IL,"-89.6363,42.3756"
Schram City IL,"-89.4609,39.1632"
Mount Auburn IL,"-89.2608,39.7649"
Garden Prairie IL,"-88.7178,42.2534"
Lake of the Woods IL,"-88.3732,40.2048"
Carbon Hill IL,"-88.2999,41.2970"
Woodridge IL,"-88.0408,41.7368"
Manhattan IL,"-87.9802,41.4274"
Lena IL,"-89.8217,42.3786"
Monmouth IL,"-90.6420,40.9142"
Kansas IL,"-87.9394,39.5545"
Waukegan IL,"-87.8716,42.3697"
Fisher IL,"-88.3503,40.3157"
New Salem IL,"-90.8478,39.7076"
Manito IL,"-89.7809,40.4206"
